Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C1306, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C5, C6, C7, C8, C9",C_Rect_L7.0mm_W2.0mm_P5.00mm,41,0.1uF,
"C1300, C1302, C1303, C1305",C_Rect_L7.0mm_W2.0mm_P5.00mm,4,0.01 uF,
J7,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,1,DE15_Socket_HighDensity,
K1300,CP_Radial_D10.0mm_P5.00mm,1,10uF,
"L1300, L1301",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,L_Small,
P4,DIN41612_R_3x32_Male_Vertical_THT,1,DIN41612_03x32_C_Split,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,0 Ω,
R1300,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,500Ω 1%,
R1301,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1K 1%,
"R1302, R1303, R1304",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,75Ω 1%,
"R1311, R1312, R1313, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,330Ω,
R1315,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,? Ω,
S1000,R_Array_SIP10,1,470Ω,
"U1000, U1006",DIP-20_W7.62mm,2,PAL16R8,
"U1001, U1002, U1003",DIP-24_W7.62mm,3,PAL20X10,
U1004,DIP-24_W7.62mm,1,PAL20R6,
"U1005, U1008, U1009, U1010",DIP-20_W7.62mm,4,P16L8,
U1007,DIP-24_W7.62mm,1,P20L8,
U1015,DIP-16_W7.62mm,1,74F175,
U1016,DIP-20_W7.62mm,1,74F244,
"U1017, U1021, U1036, U1037, U1038, U1104, U1105, U1114",DIP-16_W7.62mm,8,330Ω,
"U1100, U1101, U1102, U1103, U1110, U1111, U1112, U1113",DIP-16_W7.62mm,8,74F257,
U1129,DIP-14_W7.62mm,1,74LS393,
"U1200, U1201, U1202, U1203, U1204, U1205, U1206, U1207, U1208, U1209, U1210, U1211, U1212, U1213, U1214, U1215, U1216, U1217, U1218, U1219, U1220, U1221, U1222, U1223, U1224, U1225, U1226, U1227, U1228, U1229, U1230, U1231, U1300, U1301, U1302, U1303, U1304, U1305, U1306, U1307",ZIP_24,40,HM53461,
U1310,PGA_84_Pin,1,BT458,
U1311,Oscillator_DIP-14,1,92.9405Mhz,
U1312,DIP-16_W7.62mm,1,10H101,
U1313,DIP-16_W7.62mm,1,10H131,
U1314,DIP-16_W7.62mm,1,10H350,
U1315,TO-92_Inline,1,LM385BZ-1.2,
U1318,DIP-14_W7.62mm,1,74F08,
