Designator,Mid X,Mid Y,Rotation,Layer
C1,126.746,-143.4129,90.0,top
C10,170.1546,-143.3389,90.0,top
C11,119.5832,-200.061,90.0,top
C12,126.746,-127.8515,90.0,top
C13,126.746,-174.5357,90.0,top
C1300,271.3034,-185.1048,90.0,top
C1302,275.6946,-185.1048,90.0,top
C1303,257.7954,-158.9428,180.0,top
C1305,257.7954,-168.6964,0.0,top
C1306,280.0858,-185.1048,90.0,top
C14,126.746,-221.2199,90.0,top
C15,156.2862,-45.9282,90.0,top
C16,221.6404,-69.0214,90.0,top
C17,211.6682,-177.2521,90.0,top
C18,212.2424,-127.352,90.0,top
C19,170.1546,-221.1652,90.0,top
C2,126.746,-190.0971,90.0,top
C20,170.1546,-174.4694,90.0,top
C21,170.1546,-127.7737,90.0,top
C22,119.5832,-189.9118,90.0,top
C23,126.7714,-112.2901,90.0,top
C24,126.746,-158.9743,90.0,top
C25,126.746,-205.6585,90.0,top
C26,190.1105,-63.455,90.0,top
C27,259.1562,-91.186,0.0,top
C28,212.2424,-158.4851,90.0,top
C29,212.2424,-111.7854,90.0,top
C3,112.2172,-115.911,90.0,top
C30,170.1546,-205.5999,90.0,top
C31,170.1546,-158.9042,90.0,top
C32,170.1546,-112.2084,90.0,top
C33,119.5832,-178.5014,90.0,top
C34,110.4646,-89.1284,90.0,top
C35,157.6408,-77.4338,90.0,top
C36,110.4646,-76.1194,90.0,top
C37,114.1222,-62.8752,90.0,top
C38,211.3688,-206.8684,90.0,top
C39,190.4153,-77.505,90.0,top
C4,174.8028,-92.0954,90.0,top
C40,98.2872,-217.4288,0.0,top
C5,211.7598,-92.5526,90.0,top
C6,211.6682,-192.8187,90.0,top
C7,212.2424,-142.9185,90.0,top
C8,137.8458,-91.649,90.0,top
C9,170.1546,-190.0347,90.0,top
J7,278.2112,-219.3829,0.0,top
K1300,295.7121,-135.1684,0.0,top
L1300,254.4826,-183.276,180.0,top
L1301,254.4826,-190.1594,180.0,top
P4,247.0404,-43.5989,90.0,top
R1,243.1034,-222.0214,180.0,top
R1300,257.7954,-174.5892,0.0,top
R1301,257.7954,-171.4904,0.0,top
R1302,298.196,-184.9882,90.0,top
R1303,293.638,-185.1048,90.0,top
R1304,288.7218,-184.912,90.0,top
R1311,291.4142,-124.1552,180.0,top
R1312,271.2212,-89.9856,270.0,top
R1313,291.2618,-97.6564,180.0,top
R1315,278.9174,-124.1552,0.0,top
R5,277.7744,-97.6564,0.0,top
S1000,116.7638,-142.7988,90.0,top
U1000,229.728,-192.3538,90.0,top
U1001,99.162,-169.3669,90.0,top
U1002,99.162,-182.7527,90.0,top
U1003,99.162,-196.1386,90.0,top
U1004,99.162,-209.5244,90.0,top
U1005,259.0542,-73.7358,180.0,top
U1006,174.8032,-45.9482,90.0,top
U1007,135.4078,-45.9482,90.0,top
U1008,96.622,-155.9811,90.0,top
U1009,96.622,-129.2094,90.0,top
U1010,96.622,-102.4377,90.0,top
U1015,94.082,-75.6661,90.0,top
U1016,95.7838,-62.6816,90.0,top
U1017,141.072,-63.8298,90.0,top
U1021,227.3304,-177.4186,90.0,top
U1036,94.082,-142.5952,90.0,top
U1037,94.082,-115.8236,90.0,top
U1038,94.082,-89.0519,90.0,top
U1100,140.8434,-77.5204,90.0,top
U1101,205.2493,-77.4138,90.0,top
U1102,258.9272,-107.2384,180.0,top
U1103,172.695,-63.652,90.0,top
U1104,154.9912,-91.6124,90.0,top
U1105,193.0658,-91.9172,90.0,top
U1110,172.805,-77.3426,90.0,top
U1111,205.3086,-63.7232,90.0,top
U1112,236.3728,-77.4138,90.0,top
U1113,236.6014,-63.7232,90.0,top
U1114,230.988,-92.4252,90.0,top
U1129,92.822,-48.8944,90.0,top
U1200,147.1168,-200.342,0.0,top
U1201,147.1168,-208.3821,0.0,top
U1202,147.1168,-216.4222,0.0,top
U1203,147.1168,-224.4623,0.0,top
U1204,189.357,-200.5339,0.0,top
U1205,189.357,-208.574,0.0,top
U1206,189.357,-216.6141,0.0,top
U1207,189.357,-224.6542,0.0,top
U1208,147.1168,-168.1815,0.0,top
U1209,147.1168,-176.2216,0.0,top
U1210,147.1168,-184.2617,0.0,top
U1211,147.1168,-192.3018,0.0,top
U1212,189.357,-168.3734,0.0,top
U1213,189.357,-176.4135,0.0,top
U1214,189.357,-184.4536,0.0,top
U1215,189.357,-192.4937,0.0,top
U1216,147.1168,-136.0211,0.0,top
U1217,147.1168,-144.0612,0.0,top
U1218,147.1168,-152.1013,0.0,top
U1219,147.1168,-160.1414,0.0,top
U1220,189.357,-136.213,0.0,top
U1221,189.357,-144.2531,0.0,top
U1222,189.357,-152.2932,0.0,top
U1223,189.357,-160.3333,0.0,top
U1224,147.066,-103.8606,0.0,top
U1225,147.1168,-111.9007,0.0,top
U1226,147.1168,-119.9408,0.0,top
U1227,147.1168,-127.9809,0.0,top
U1228,189.3062,-104.0525,0.0,top
U1229,189.357,-112.0926,0.0,top
U1230,189.357,-120.1327,0.0,top
U1231,189.357,-128.1728,0.0,top
U1300,231.8004,-154.1546,0.0,top
U1301,231.8004,-137.3946,0.0,top
U1302,231.8004,-120.6347,0.0,top
U1303,231.7496,-103.8747,0.0,top
U1304,231.8004,-162.5346,0.0,top
U1305,231.8004,-145.7746,0.0,top
U1306,231.8004,-129.0147,0.0,top
U1307,231.8004,-112.2547,0.0,top
U1310,281.0764,-164.5308,180.0,top
U1311,284.0482,-73.2978,0.0,top
U1312,284.7344,-90.1884,90.0,top
U1313,284.7344,-105.2976,90.0,top
U1314,284.7344,-116.0776,90.0,top
U1315,257.7954,-163.7688,180.0,top
U1318,225.8318,-206.527,90.0,top
